OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),A12_med,AB06_med,D15_med,ESHM_med,NGAE_med,S09yc_med,S09nc_med,A12_std,AB06_std,D15_std,ESHM_std,NGAE_std,S09yc_std,S09nc_std,A12_wt,AB06_wt,D15_wt,ESHM_wt,NGAE_wt,S09yc_wt,S09nc_wt
91,19,42,35984.3,7.1,HW,B,1,-1.7221565547464293,-2.104603140714467,-2.281423749272026,-1.3970148533974978,-1.1047290241079621,-1.0419047747478598,-1.8158921003897524,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
92,19,54,36124.5,7.3,HW,B,1,-1.5912575186038982,-1.9699754716509017,-2.170909207547028,-1.2722381391993147,-0.9611682398937675,-0.8195910424520915,-1.671908568214321,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
93,19,33,41541.6,7.0,HW,B,1,-1.9953661203711783,-2.3900246823905347,-2.4639461865562513,-1.6070970258617387,-1.3845149136183983,-1.3231596822159366,-2.0260597707187356,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
94,19,79,48356.9,7.4,HW,B,1,-1.9129215702475255,-2.317015904543798,-2.3518168962857717,-1.481488991995841,-1.24583426772895,-1.0405203367362574,-1.8623158662407082,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
95,19,24,49373.1,6.8,HW,B,1,-2.4079347464615024,-2.8120638699658085,-2.757113172877896,-1.9279584019650653,-1.8084275992955152,-1.7529475354330408,-2.3625469932057195,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
96,19,55,51171.8,7.3,HW,B,1,-2.0557748339367152,-2.4687183689743954,-2.456611651632765,-1.6076208295300936,-1.3998303358611932,-1.23300299697912,-1.9901271139565204,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
97,19,24,64898.7,6.8,HW,B,1,-2.798958963927843,-3.229093096044131,-3.0196113537764036,-2.230769759156682,-2.107219030448794,-2.107399749425086,-2.6398359247368366,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
98,19,172,65146.8,7.8,HW,B,1,-2.0589855235886874,-2.4757515308250806,-2.3963530378481286,-1.4634805152090384,-1.2234454705679725,-0.8415272364607097,-1.842139759982957,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
99,19,57,83152.5,7.3,HW,B,1,-2.5844866536221085,-2.9442290555366606,-2.904447601864626,-2.1026677766281217,-1.8644474270064482,-1.8470991133598091,-2.4742841966945357,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
100,19,30,89900.2,7.0,HW,OTHER,1,-2.872837744327866,-3.1977837598378724,-3.2001855080687456,-2.438633498855045,-2.223090599639454,-2.3344602220578747,-2.8253716427786,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
101,19,111,91099.7,7.6,HW,OTHER,1,-2.3733358184827575,-2.737684999103984,-2.807066664875001,-1.9466619324117491,-1.6740461223928662,-1.5579172093015594,-2.3312669602881537,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
164,29,64,5685.1,7.3,HW,B,1,0.5675982763791985,0.2160154577201605,-1.1427035702571922,0.1761723385615104,0.4095576008797846,0.7898837250965901,-0.4950743053950124,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
165,29,93,49578.6,7.5,HW,D,1,-1.8824370753460415,-2.2849545573215644,-2.318739515445355,-1.4341780269837612,-1.1964692857890435,-0.9421613857129015,-1.8124843704203477,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
166,29,38,52914.8,7.1,HW,B,1,-2.250635678548903,-2.6685756384866015,-2.610734345644876,-1.7858808199928864,-1.6031017675442336,-1.5119604689121102,-2.178873645803808,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
167,29,10,56557.2,6.4,HW,C,1,-3.0068669025809593,-3.3937830889619587,-3.2141961860984036,-2.3733519211410328,-2.3580501408765318,-2.3133398365211213,-2.864432165884547,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7361330183314546,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
168,29,111,65436.2,7.6,HW,D,1,-2.1804532369142873,-2.6110617067103297,-2.500813983599234,-1.622022428129881,-1.381702006156796,-1.1331004033500514,-1.9911375093711472,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
169,29,57,72450.5,7.3,FW,B,1,-2.5224104602259585,-2.9286945712613046,-2.770454269351456,-1.9583722255604672,-1.7407409851496236,-1.6632662693516647,-2.3266116041634555,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
170,29,37,76971.4,7.1,HW,B,1,-2.743826627049469,-3.094910240445191,-2.9653361693610383,-2.182988377374154,-1.982742655025615,-1.9946920356367959,-2.559385008214421,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
171,29,12,81807.5,6.5,HW,D,1,-3.3913005996750476,-3.649370877619246,-3.5173412193512297,-2.7426520115870314,-2.656623542298879,-2.743792617273441,-3.1861377615257878,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
172,29,23,81995.4,6.8,HW,D,1,-3.055207314772324,-3.3630830893108383,-3.2606112050206404,-2.4988629662313033,-2.34551467649831,-2.4325099120719877,-2.9005437555308915,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
173,29,15,85345.1,6.6,HW,B,1,-3.283851066250133,-3.5561323380256655,-3.4746380227715403,-2.7119130154740905,-2.5924347376887114,-2.705766435568935,-3.139295646896854,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
174,29,59,85861.3,7.3,HW,B,1,-2.591660353926922,-2.948161013208599,-2.936531294951981,-2.1367414279205175,-1.8924724914851527,-1.8911402358767777,-2.510013908968275,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
175,29,26,86954.8,6.9,FW,D,1,-2.96456588452276,-3.280468453340859,-3.2427882791182627,-2.4842302449078804,-2.2953321172349024,-2.4041601988885,-2.877122604152355,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
176,29,34,87442.7,7.0,HW,B,1,-2.8667401265464263,-3.1942165765911255,-3.1706825598593897,-2.407084873061506,-2.1954210457353245,-2.294338797107177,-2.7925625089397204,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
177,29,57,87662.1,7.3,HW,B,1,-2.596305231701305,-2.950774963805035,-2.9574981708797674,-2.1589099559962013,-1.9115477527682478,-1.9199269448576715,-2.5334413768152744,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
178,29,30,88188.3,7.0,HW,B,1,-2.8686080540241523,-3.1952988520046652,-3.179690690540178,-2.416733034343438,-2.2037353169467098,-2.306587819621455,-2.8025680509545015,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
179,29,13,88358.0,6.5,HW,B,1,-3.4077614442047377,-3.658879253553251,-3.6041459584046054,-2.8381566009007004,-2.733571586012819,-2.860059925324336,-3.2811111244737257,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
180,29,10,93155.2,6.4,HW,B,1,-3.5397961055370954,-3.7670695325554044,-3.7595823112571645,-2.9894030100769142,-2.900280316821786,-3.040617958262526,-3.4500351812393752,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7361330183314546,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
181,29,58,94330.0,7.3,HW,B,1,-2.612710458859576,-2.9604537516670844,-3.0328136760197424,-2.237901668502443,-1.9787303998415702,-2.023370876442184,-2.6181045294703718,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
277,46,38,40481.9,7.1,HW,B,1,-1.883093882030018,-2.275877312106456,-2.378639791035649,-1.513901252666287,-1.2779361122219184,-1.1821733637855938,-1.9233480829405374,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
278,46,19,44136.6,6.7,HW,B,1,-2.338480668823506,-2.7286114785214473,-2.7284816710328696,-1.8753242783400064,-1.7337696006359782,-1.706315256931561,-2.334279982844766,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
279,46,31,75367.1,7.0,HW,B,1,-2.8256235728415517,-3.1766882437266615,-3.0170439299121212,-2.2404312777388284,-2.0564769331629003,-2.0855818704328026,-2.6235338080043644,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
280,46,14.25,84522.8,6.6,HW,D,1,-3.2817698844761036,-3.5549387287545366,-3.463881561962223,-2.700123931980331,-2.582947521785372,-2.6913189153730324,-3.127504003751079,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
281,47,19,41531.1,6.7,HW,B,1,-2.2506987423381157,-2.636148259295725,-2.673118925683116,-1.808825645638839,-1.6585221377159218,-1.6279783495535258,-2.2733656819491563,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
282,47,38,41665.7,7.1,HW,B,1,-1.9225546931939794,-2.3179151126123476,-2.4028678087908046,-1.5427527302273478,-1.3081469725644437,-1.2170674442028888,-1.9502252693792514,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
283,47,31,80240.6,7.0,HW,B,1,-2.8478302244331055,-3.183762370909987,-3.0809173474072327,-2.3101983637544814,-2.1184799104827396,-2.1723356563495884,-2.6934352240146793,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
284,47,14.25,83745.7,6.6,HW,B,1,-3.279784407650775,-3.5538107295272536,-3.4536503493778556,-2.688893834264186,-2.5740637703524407,-2.6775785397166265,-3.116300860908223,0.841134334470725,0.6907755278982136,0.7932069646807194,0.7280109133797378,0.6199999973351699,0.5512,0.5684,0.24,0.13,0.14,0.1,0.09,0.16,0.14
