OBJECTID,DamID,Fault length (km),DIST DAM TO FAULT [m],EQ PREF MCE MW,FW or HW,ASSCM Classification,GMM code (1=craton; 2=ext),A12_med,AB06_med,D15_med,S09nc_med,NGAE_med,A12_std,AB06_std,D15_std,S09nc_std,NGAE_std,A12_wt,AB06_wt,D15_wt,S09nc_wt,NGAE_wt
35,14,55,249.5,7.3,HW,B,2,-0.15261460594627044,0.12874841093464906,-1.244161508713683,-0.1307979715529862,-0.2896861504496237,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
36,14,64,9895.2,7.3,HW,C,2,-0.7968988769247645,-1.1546073336726228,-1.590795895777437,-0.7128400594455097,-0.761740263995202,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
37,14,24.723261,11070.0,6.9,HW,C,2,-1.1706833180960832,-1.554090322232861,-1.8714104093645612,-1.2647461286177375,-1.07370243092573,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
38,14,24.633328,30201.3,6.9,HW,B,2,-2.2021878880159558,-2.637953313058911,-2.4576125509038818,-2.118399764653861,-1.9685228117276936,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
39,14,68,44197.8,7.4,HW,B,2,-2.1595868114801187,-2.612990135752672,-2.3770787567193277,-1.8805294731208722,-1.8752247358102392,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
40,14,49,60118.5,7.2,HW,D,2,-2.655680159066171,-3.100959968440014,-2.7224266126374173,-2.3648348965252595,-2.3518806386775832,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
41,14,72,93057.3,7.4,HW,B,2,-2.729864287660563,-3.122298348788673,-2.9387742055680106,-2.4663274631078225,-2.373861184998341,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
42,14,29,96249.5,6.9,HW,B,2,-3.2592856013667455,-3.602029544137859,-3.3610294399502947,-3.150379623041314,-2.9493267493699724,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
43,15,70,70693.0,7.4,HW,B,2,-2.6548673001602126,-3.0971375479143153,-2.7163392785918443,-2.2453960846018544,-2.244054528936474,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
44,15,49,84929.2,7.2,HW,B,2,-2.9333130422721347,-3.28352206694404,-2.9987317699825353,-2.6285875431709718,-2.5436084861182016,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
45,15,72,86835.3,7.4,HW,B,2,-2.7396937697727504,-3.1152983307670827,-2.8807651417428697,-2.4073139544390156,-2.3410796165482965,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
46,15,55,97860.3,7.3,HW,B,2,-2.812218872046934,-3.2095380623520655,-3.0486509180360946,-2.628339402481892,-2.505134157806559,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
47,15,68,101610.8,7.4,HW,D,2,-2.7173740860169757,-3.1319214047429758,-3.014665647067927,-2.5450175530454153,-2.416244925048224,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
48,16,54,1228.5,7.3,HW,OTHER,2,-0.17058643268282972,0.014162530236146557,-1.2559121460610385,-0.1521756644673585,-0.3458343762893304,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
49,16,42,8409.5,7.1,HW,B,2,-0.7942888696798229,-1.1807606985035164,-1.627942969287573,-0.8354776774048898,-0.7890746196859647,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
50,16,123,14368.4,7.7,HW,B,2,-0.9308150291564474,-1.3307335694678248,-1.6160093991323432,-0.6011393306276311,-0.7466656775864801,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
51,16,26,20127.5,6.9,HW,B,2,-1.7617246679737508,-2.1970908605128714,-2.1975018729822504,-1.7424243559661083,-1.55367842443385,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
52,16,15,34891.9,6.6,HW,B,2,-2.7325519497418354,-3.1326686323820274,-2.830188078058889,-2.7129226402675486,-2.4550588639090845,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
53,16,31,40177.8,7.0,FW,B,2,-2.4119556016762678,-2.850496006712475,-2.575467376508299,-2.2679263305574375,-2.1663016276177327,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
54,16,56,52700.4,7.3,HW,B,2,-2.4241912111464954,-2.8742458691822432,-2.558609721580881,-2.1563431882185826,-2.1446824330494443,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
55,16,162,63209.5,7.8,HW,OTHER,2,-2.2887151356723274,-2.7332555531324783,-2.445299497504372,-1.774941170416757,-1.8228613703753735,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
56,16,66,67369.4,7.4,HW,D,2,-2.6038097772793676,-3.055550609238995,-2.6794030318085094,-2.210105715990601,-2.2140672497455953,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
57,16,16,69582.7,6.6,HW,B,2,-3.547419802252098,-3.9314816537562858,-3.376228134957114,-3.342751389792807,-3.1671492715939795,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
58,16,19,76049.8,6.7,HW,D,2,-3.508712752032143,-3.8166313667959755,-3.3475302453882314,-3.2520793855883423,-3.087495270710562,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
59,16,85,85317.8,7.5,HW,D,2,-2.6598924626349794,-3.0384508636817484,-2.8071239113507636,-2.2829081770440243,-2.225956871683564,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
60,16,13,88597.3,6.5,HW,D,2,-3.860466188023376,-4.094858869888502,-3.7061268242755903,-3.718062207981501,-3.4271241365132674,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
61,16,11,100014.5,6.4,HW,B,2,-3.998707495023012,-4.2498031004218975,-3.943782700898522,-4.010727782550212,-3.6481122970075597,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
62,16,45,102840.4,7.2,HW,B,2,-2.9022514377752793,-3.3036729384947168,-3.165975779556404,-2.798600575876432,-2.6376006007932506,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
63,17,40,30668.8,7.1,HW,B,2,-2.018946253160248,-2.4674337937656783,-2.3186916754668365,-1.8678839791862647,-1.7804826583266347,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
102,20,44,66100.9,7.2,HW,DE,2,-2.7591262669476193,-3.204095777673385,-2.7954196375436395,-2.432468938677283,-2.4099945560603744,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
103,20,9,100842.3,6.3, FW,B,2,-4.17171395253436,-4.399529717252105,-4.079692608311366,-4.149877102758054,-3.809392954192607,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
104,21,44,66628.4,7.2,HW,B,2,-2.767802569734929,-3.2127668729378045,-2.8016275011394165,-2.4382877197840496,-2.415284557115011,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
105,21,9,101263.1,6.3, HW,B,2,-4.17065800234012,-4.400003135378669,-4.083873538026199,-4.154027623511029,-3.811556767760105,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
106,22,38,189.4,7.1,HW,D,2,-0.21359213178286704,0.14277575932117328,-1.3330345051572847,-0.34451663838117885,-0.3585718394395187,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
107,22,28,10481.0,6.9,HW,B,2,-1.1222997269150212,-1.4955556456482333,-1.8459358223600635,-1.226642046832889,-1.043710900626123,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
108,22,24,11150.7,6.8,HW,B,2,-1.2696448953609645,-1.6513202718577018,-1.9483197249932007,-1.4061409629741772,-1.1624253717499469,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
109,22,53,13923.0,7.2,HW,B,2,-1.1431410182667627,-1.5624571018954319,-1.7969105103852008,-1.0634106115830075,-1.0134510462858433,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
110,22,34,20868.2,7.0,HW,CD,2,-1.7027354171878777,-2.1445978266120695,-2.146086438003164,-1.6409093175419185,-1.4810187320613983,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
111,22,19,23544.3,6.7,HW,B,2,-2.153847533988599,-2.5735449890310718,-2.462550666485243,-2.172001841024091,-1.9139292110446697,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
112,22,44,26740.5,7.2,HW,B,2,-1.7875420816238707,-2.240113289525891,-2.166556848723745,-1.6164395048953422,-1.5579792137759365,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
113,22,25,27396.9,6.9,HW,B,2,-2.094739766118011,-2.531643966414611,-2.3927371561063575,-2.0246614436440615,-1.859493567073622,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
114,22,14,29558.1,6.6,HW,B,2,-2.539619891048633,-2.944061849981856,-2.7113266901876987,-2.54555785471503,-2.2840057430266802,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
115,22,14,31554.9,6.6,HW,D,2,-2.6154330811729163,-3.018263577961234,-2.757641479095396,-2.610724649901162,-2.3497662983788405,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
116,22,11,33717.4,6.4,HW,D,2,-2.979843588549109,-3.350590370308499,-3.017346765317348,-3.0121299267381323,-2.6783953529649867,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
117,22,56,35734.4,7.3,HW,OTHER,2,-2.011901355652593,-2.4658099730169867,-2.291909619042317,-1.777126870321228,-1.7466458577969768,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
118,22,26,42163.8,6.9,HW,D,2,-2.57516869454563,-3.0046021387026878,-2.6910534437077107,-2.4566142362894463,-2.3314473888670717,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
119,22,23,47315.0,6.8,HW,B,2,-2.825289959751518,-3.242204549745403,-2.86461860875151,-2.726183133704389,-2.58280608345627,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
120,22,78,50289.8,7.4,HW,B,2,-2.2950343835847704,-2.747431960398161,-2.4660326995115507,-2.0137893252799928,-2.012759101007159,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
121,22,2,52171.3,5.6,HW,B,2,-5.049720500035089,-5.208864997757635,-4.489946925577833,-4.668586952520539,-4.577122125139695,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
122,22,38,55844.1,7.1,HW,B,2,-2.672970250918199,-3.1132464420052237,-2.73937942997408,-2.4413564309705706,-2.3908050686938407,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
123,22,62,55982.4,7.3,HW,B,2,-2.4888588685106674,-2.938483065440066,-2.602517657874148,-2.1959089162955556,-2.1898485184460736,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
124,22,25,56116.1,6.9,HW,OTHER,2,-2.8987381295243653,-3.322876938346651,-2.906095383897055,-2.7188005040633025,-2.622438601242536,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
125,22,23,56415.8,6.8,HW,B,2,-3.0276377234642053,-3.441130125353064,-3.0009296519143267,-2.86973331390498,-2.7531980845874244,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
126,22,34,60384.5,7.0,HW,B,2,-2.866521737245411,-3.2987366121845527,-2.8783887937142913,-2.629625182009067,-2.5599452388017188,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
127,22,50,63710.8,7.2,HW,D,2,-2.718943035875575,-3.1639804515682126,-2.7668449939702717,-2.405820624949327,-2.386370139726115,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
128,22,66,64557.7,7.4,HW,D,2,-2.558649578163261,-3.0102639818971015,-2.6471569623273496,-2.1796172974393277,-2.187297930282958,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
129,22,30,65203.9,7.0,HW,B,2,-2.952719704712908,-3.3843548138027364,-2.9391696060007813,-2.6853516912184094,-2.608733225204771,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
130,22,37,77860.9,7.1,HW,D,2,-3.0409961365522795,-3.3707978915349766,-3.0026127747655376,-2.686817239398429,-2.6075968461131267,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
131,23,26,69868.6,6.9,HW,D,2,-3.148301482907463,-3.570361109869594,-3.0821034672018173,-2.879430007468843,-2.786346549135452,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
132,23,70,106695.8,7.4,HW,DE,2,-2.7104379935484104,-3.1376422487866575,-3.057934537733011,-2.5906305108194663,-2.4416577663639183,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
133,24,26,80950.4,6.9,HW,D,2,-3.2926502747907285,-3.584817397607144,-3.2067413979940023,-2.9979716708558244,-2.863624915498041,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
134,25,26,71804.4,6.9,HW,B,2,-3.179479110954721,-3.5745277536300515,-3.1048228932772997,-2.90073689504105,-2.800145570799468,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
135,25,70,106479.7,7.4,HW,B,2,-2.710725970867702,-3.137399126977839,-3.0561213940706806,-2.588708293460844,-2.440564541157928,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
136,26,55,18450.0,7.3,HW,B,2,-1.3405533818183617,-1.7838869718938908,-1.8929886527824826,-1.176768985369433,-1.1490405540987887,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
137,26,12,27646.7,6.5,HW,B,2,-2.5984034247582923,-2.990650026844723,-2.7654442092072644,-2.6423205509265566,-2.311485780403323,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
138,26,14,27782.7,6.6,HW,B,2,-2.468072703072062,-2.873881126161607,-2.668066567456487,-2.484727275605618,-2.206563639359262,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
139,26,50,35626.8,7.2,HW,B,2,-2.0905035129328415,-2.541689216197592,-2.3511001545344206,-1.8911002777809498,-1.833413953637077,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
140,26,23,36845.8,6.8,HW,B,2,-2.5395060622294943,-2.9621942945570456,-2.6803900250470964,-2.4607794024216347,-2.287493661206849,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
141,26,62,44499.6,7.3,HW,B,2,-2.243821287959403,-2.6955114220915983,-2.4393229081570413,-1.999356134115647,-1.9777959224218569,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
142,26,38,54660.9,7.1,HW,B,2,-2.6493414903439243,-3.089850747100587,-2.7232493230684303,-2.426905776854371,-2.3736625658766717,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
143,26,25,55306.4,6.9,HW,B,2,-2.8822271294181543,-3.30658191067936,-2.894788526417496,-2.708743732190382,-2.610212493491615,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
144,26,56,61582.6,7.3,HW,D,2,-2.5911238261917737,-3.040331477895672,-2.6733181318962336,-2.2608002845977717,-2.2627634489173865,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
145,26,60,64938.1,7.3,HW,B,2,-2.6481288617605947,-3.0972763044173783,-2.713561313887269,-2.298297684723994,-2.2946553328064248,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
146,26,19,72736.4,6.7,HW,D,2,-3.4564379591815366,-3.8129036490665094,-3.3089175724232494,-3.2157910204110145,-3.06335070393029,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
147,26,34,77395.3,7.0,HW,B,2,-3.1455194486512603,-3.4721979554971334,-3.0798410023702103,-2.8180268590357613,-2.710390161760936,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
148,26,19,79797.4,6.7,HW,OTHER,2,-3.5651881796879183,-3.820847578229231,-3.3898085202120427,-3.2922409499914234,-3.1155253739254407,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
149,26,30,82021.3,7.0,HW,B,2,-3.164483894657737,-3.4774024047687306,-3.1291927677716727,-2.865821482453109,-2.740218838875105,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
150,26,26,83226.2,6.9,HW,B,2,-3.2873064463727264,-3.5873777706404986,-3.230860613806527,-3.0213813836191377,-2.876607458764836,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
151,26,66,87115.4,7.4,HW,D,2,-2.739236336277103,-3.1156134553327925,-2.883432772563191,-2.410006146181006,-2.342657366297105,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
152,26,44,88455.4,7.2,HW,OTHER,2,-2.9267097831942914,-3.2874891938401722,-3.0333356311881303,-2.6631190442206982,-2.5637707112130914,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
153,26,11,89587.1,6.4,HW,B,2,-4.025511173607465,-4.23807182624666,-3.836877408797858,-3.9057873059167454,-3.589732256269729,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
154,26,28,89753.9,6.9,HW,B,2,-3.2727527880612772,-3.594721714330556,-3.2976684931926505,-3.0870271696133815,-2.914808651449026,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
155,26,25,92567.7,6.9,HW,B,2,-3.266803137814989,-3.597887360539034,-3.325471966202056,-3.114695700769959,-2.929724533777126,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
156,26,2,94833.2,5.6,HW,B,2,-5.656783729906835,-5.621822052714153,-5.077700914025508,-5.192694918125604,-5.014916640924364,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
157,26,31,97168.7,7.0,HW,B,2,-3.133538732273713,-3.4944438822647506,-3.2788402086666055,-3.0147647093583214,-2.8240902899225557,0.7322220595721064,0.6907755278982136,0.6397322078752953,0.6269,0.5599999894170231,0.29,0.15,0.17,0.29,0.1
