FID,earthquake_id,azimuthal_gap,azimuth_horizontal_uncertainty,depth,depth_uncertainty,description,epicentral_time,evaluation_mode,evaluation_status,event_creation_time,event_id,event_modification_time,latitude,longitude,mb,md,ml,ms,mw,mww,mwp,mwmwp,minimum_distance,maximum_distance,nearest_station,origin_id,origin_time,origin_time_uncertainty,phase_count,preferred_magnitude,preferred_magnitude_type,max_horizontal_uncertainty,min_horizontal_uncertainty,source,standard_error,station_count
earthquakes.fid--718ebb5a_177845ae793_5cf7,311550,0,,5,,TOBIN LAKE; 47KM E,,,FINL,2008-04-29T19:17:44,ga1992nvuxhg,2009-12-15T10:33:08,-21.966,126.582,5,,4.8,,,,,,,,,1609740,1992-07-15T00:17:09,,0,5,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5cf8,309977,0,,5,,EXMOUTH; 346KM NNW,,,FINL,2008-04-29T20:10:11,ga1992mwlidj,2009-12-15T10:33:08,-19.223,112.473,4.5,,4.7,,,,,,,,,1609729,1992-07-01T04:36:08,,0,4.7,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5cf9,291772,0,,1,,CRANBROOK; 20KM WSW,,,FINL,2008-04-03T08:13:27,ga1991ylmuyj,2009-12-15T10:33:07,-34.389,117.36,4.4,,4.3,,,,,,,,,1609659,1991-12-13T04:48:17,,0,4.4,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5cfa,289618,0,,5,,EXMOUTH; 158KM N,,,FINL,2008-04-03T09:15:16,ga1991unaszm,2009-12-15T10:33:10,-20.5,114.126,4.5,,4.3,,,,,,,,,1612083,1991-10-18T09:07:27,,0,4.5,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5cfb,270365,0,,2.5,,CADOUX; 4KM W,,,FINL,2008-04-02T17:44:56,ga1990jaojsj,2009-12-15T10:33:09,-30.779,117.102,3.9,,4.5,,,,,,,,,1611123,1990-05-08T18:40:56,,0,4.5,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5cfc,265946,244.6,,6,,Meckering WA. Isoseismal map.,,,FINL,2008-04-02T18:33:31,ga1990bdwvef,2009-12-15T10:14:53,-31.72,116.99,5.2,,5.5,,,,,,,,,620504,1990-01-17T06:38:08,,0,5.5,mb,,,,0.87025068,0
earthquakes.fid--718ebb5a_177845ae793_5cfd,265383,108.02,253.57,11,0.7404,Newcastle NSW.  md 5.5 (CNB). 13 people killed; more than 100 injured and estimated 1.1 billion U.S. dollars damage I=VIII MM caused in the Newcastle area. Damage occurred as far away as Liverpool; Scone and Gladstone. Felt in a 200;000 sq.km. area of New South Wales and the Australian Capital Territory from Albury and Cooma to Coffs Harbour and Inverell and as far west as Narromine. Also felt by people in high-rise buildings in Gold Coast and Melbourne. Believed to be the first earthquake in Australian history that has caused deaths.,,,FINL,2008-04-02T18:41:09,ga1989zmqbgf,2015-11-30T14:26:42,-32.946,151.607,5.7,,5.5,4.6,,,5.4,,,,,620500,1989-12-27T23:26:57,68.06,27,5.4,Mwp,2.483,1.3203,AUST,74.62072683,27
earthquakes.fid--718ebb5a_177845ae793_5cfe,265021,0,,5,,BROOME; 51KM N,,,FINL,2008-04-02T18:49:04,ga1989yfkhnd,2009-12-15T10:11:05,-17.512,122.3,4.8,,4.2,,,,,,,,,1611119,1989-12-09T21:05:30,,0,4.8,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5cff,654899,91.68,95.37,0,0,Offshore NW Australia; Indian Ocean.,,,FINL,2016-05-11T07:35:10,ga2016jfjuef,2016-05-11T08:53:10,-16.3973,118.6896,5.29,,5.08,4.5,,,,,,,,1311851,2016-05-10T09:44:35,0.7,22,5.29,mb,12.0506,9.0019,AUST,1.1291,22
earthquakes.fid--718ebb5a_177845ae793_5d00,654141,86.87,117.2,13.286,27.0419,Pilbara; WA.,,,FINL,2015-10-14T09:00:52,ga2015udrskb,2015-10-14T09:22:57,-22.5689,120.7514,4.44,,4.44,4,,,,,,,,1217974,2015-10-13T06:54:56,3.84,23,4.44,mb,9.8241,7.7274,AUST,0.8792,22
earthquakes.fid--718ebb5a_177845ae793_5d01,654063,93.99,46.24,10,0,W of King Island; Tasmania.,,,FINL,2015-09-17T13:55:03,ga2015shqobo,2015-09-17T14:02:26,-39.8392,142.4188,4.8,,4.56,4.78,,,,,,,,1207016,2015-09-17T02:44:55,0.49,35,4.8,mb,8.1147,5.3088,AUST,0.6332,35
earthquakes.fid--718ebb5a_177845ae793_5d02,653898,170.16,69.01,30,0,Offshore E of Fraser Island; QLD.,,,FINL,2015-08-03T10:50:52,ga2015oznlkq,2015-08-03T10:52:34,-25.3761,154.2735,5.11,,,,,,,,,,,1190110,2015-08-01T04:46:26,0.78,40,5.11,mb,10.3891,5.5789,AUST,0.8225,37
earthquakes.fid--718ebb5a_177845ae793_5d03,652503,87.27,174.11,10,0,Coolgardie; WA.,,,FINL,2014-11-03T09:40:13,ga2014vlriii,2014-11-03T10:06:11,-30.8146,121.2319,4.48,,4.22,3.72,,,,,,,,1075037,2014-10-31T19:15:25,0.34,27,4.48,mb,4.5169,2.9697,AUST,1.2716,21
earthquakes.fid--718ebb5a_177845ae793_5d04,652382,93.33,121.11,10,0,Near Port Headland; WA.,,,FINL,2014-10-07T09:30:02,ga2014szdskg,2014-10-07T09:38:47,-20.0995,119.5339,4.61,,4.16,3.97,,,,,,,,1063099,2014-09-26T15:38:16,0.62,19,4.61,mb,7.1979,5.6414,AUST,1.2418,19
earthquakes.fid--718ebb5a_177845ae793_5d05,647091,80.33,315.96,9.16,0.2739,SW of Newman; WA.,,,FINL,2011-05-21T06:39:10,ga2011jwrvkm,2011-05-23T13:33:31,-23.4596,119.3321,4.52,,4.66,,,,,,,,,421452,2011-05-20T20:03:29,16.02,13,4.52,mb,1.2361,0.7979,AUST,1.3372,13
earthquakes.fid--718ebb5a_177845ae793_5d06,646968,153.42,248.04,30,0.3312,North of Exmouth; WA.,,,FINL,2011-04-18T05:09:18,ga2011hoadou,2011-04-18T13:42:41,-19.8029,113.5252,5.31,,5.51,,,,,,,,,405614,2011-04-17T18:41:20,7.31,11,5.31,mb,1.3244,0.7155,AUST,1.2625,11
earthquakes.fid--718ebb5a_177845ae793_5d07,639224,0,,36.2,,Off WA coast near Exmouth,,,FINL,2008-04-07T16:56:43,ga2000ucuxvl,2009-12-15T11:12:07,-19.804,113.066,5.3,,5.4,4.9,,,,,,,,1759073,2000-10-11T19:27:17,,0,5.4,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5d08,510386,0,,33,,,,,FINL,2008-04-14T11:07:02,ga1998whsele,2009-12-15T10:42:38,-12.921,121.9949,4.6,,,3.9,,,,,,,,1890819,1998-11-12T19:19:32,,0,4.6,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5d09,509560,0,,0,,Off central Queensland coast. Felt,,,FINL,2008-04-14T11:48:43,ga1998vpepry,2009-12-15T10:29:56,-22.808,151.146,4.4,,4.7,,,,,,,,,1452345,1998-11-02T17:09:38,,0,4.7,mb,,,,1.9824,0
earthquakes.fid--718ebb5a_177845ae793_5d0a,509512,0,,10,,Off WA coast near Exmouth.,,,FINL,2008-04-14T11:50:39,ga1998vobinb,2009-12-15T10:29:56,-19.538,113.53,4.5,,4.6,,,,,,,,,1452344,1998-11-02T02:26:18,,0,4.6,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5d0b,649428,147.81,162.79,39.2974,12.3448,Offshore Bathurst Island; NT.,,,FINL,2012-11-06T10:45:05,ga2012vwsftb,2012-11-06T10:48:43,-11.5463,129.0448,4.49,,4.29,3.58,,,,,,,,672727,2012-11-05T19:31:49,1.4,26,4.49,mb,12.4439,6.1363,AUST,1.0985,22
earthquakes.fid--718ebb5a_177845ae793_5d0c,492153,0,,0,, Epicentre in the Gulf of Carpentaria. No confirmed felt reports.,,,FINL,2008-04-10T09:06:53,ga1998gdzvag,2014-12-02T13:12:18,-12.397,139.12,5.2,,4.9,4,,,,,,,,1450883,1998-03-29T03:50:17,,0,5.2,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5d0d,463360,0,,10,,Collier Bay; WA. Epicentre offshore near Cockatoo Is WA. ,,,FINL,2008-04-15T15:25:52,ga1997pqkbni,2016-02-12T22:26:20,-16.0503,124.4227,5.8,,6,5.9,,,6.2,,,,,1698659,1997-08-10T09:20:31,,0,6.2,Mwp,,,AUST,,0
earthquakes.fid--718ebb5a_177845ae793_5d0e,387127,0,,16,,,,,FINL,2008-04-21T10:40:13,ga1995lqihsd,2009-12-15T10:28:11,-20.149,133.7148,4.8,,,4.8,,,,,,,,1364815,1995-06-14T16:41:54,,0,4.8,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5d0f,352122,92.65,,5,,,,,FINL,2008-04-22T18:12:05,ga1994csylug,2009-12-15T10:18:50,-19.761,133.885,4.7,,4.3,,,,,,,,,909468,1994-02-08T15:31:05,,0,4.7,mb,,,,96.63563228,0
earthquakes.fid--718ebb5a_177845ae793_5d10,349792,0,,19.3,,,,,FINL,2008-04-03T18:43:34,ga1993yvuozu,2009-12-15T10:24:05,-11.8274,133.8567,4.8,,,,,,,,,,,1171634,1993-12-18T19:27:31,,0,4.8,mb,,,,0.4118,0
earthquakes.fid--718ebb5a_177845ae793_5d11,349791,152.74,,19.3,,,,,FINL,2008-04-03T18:43:33,ga1993yvuozl,2009-12-15T10:21:26,-11.871,133.841,4.6,,,,,,,,,,,1037391,1993-12-18T19:27:30,,0,4.6,mb,,,,4.16021726,0
earthquakes.fid--718ebb5a_177845ae793_5d12,333112,167.44,,1,,Tennant Creek NT,,,FINL,2008-04-28T15:42:32,ga1993dqhgny,2009-12-15T10:18:50,-19.815,133.903,4.6,,4.6,,,,,,,,,904151,1993-02-21T08:39:29,,0,4.6,mb,,,,5.2020367,0
earthquakes.fid--718ebb5a_177845ae793_5d13,320091,197.71,,39,,This is one of the few Australian earthquakes with a well defined focal depth thanks to observations of pP and sP depth phases on regional and antarctic stations (McCue and Leiba; 1993). It was felt as far as Darwin.,,,FINL,2008-04-30T09:39:14,ga1992thzsqb,2009-12-15T10:17:01,-11.354,134.573,5.4,,5.1,4.9,,,,,,,,820270,1992-09-30T11:18:07,,0,5.4,mb,,,,5.56084722,0
earthquakes.fid--718ebb5a_177845ae793_5d14,308103,156.2,,16,,,,,FINL,2008-04-29T21:20:30,ga1992lqlbpu,2009-12-15T10:17:01,-23.66,130.05,5.1,,4.5,,,,,,,,,820243,1992-06-13T18:05:21,,0,5.1,mb,,,,6.21459751,0
earthquakes.fid--718ebb5a_177845ae793_5d15,297293,186.85,,5,,,,,FINL,2008-04-29T14:27:23,ga1992dykhde,2009-12-15T10:17:01,-19.861,134.177,4.2,,4.4,,,,,,,,,820226,1992-02-25T18:46:29,,0,4.4,mb,,,,7.68949183,0
earthquakes.fid--718ebb5a_177845ae793_5d16,281333,225.31,,2,,Tennant Creek NT,,,FINL,2008-04-03T13:52:02,ga1991eplddz,2009-12-15T10:14:53,-20.021,133.809,5.1,,4.8,,,,,,,,,620608,1991-03-07T01:28:08,,0,5.1,mb,,,,8.95957177,0
earthquakes.fid--718ebb5a_177845ae793_5d17,279103,229.03,,2,,,,,FINL,2008-04-03T15:28:49,ga1991aeksjl,2009-12-15T10:14:53,-19.932,133.861,4.4,,4.4,,,,,,,,,620605,1991-01-03T09:40:56,,0,4.4,mb,,,,5.20409548,0
earthquakes.fid--718ebb5a_177845ae793_5d18,277790,139.5,,0,,Tennant Creek NT - aftershock,,,FINL,2008-04-02T16:28:05,ga1990xjjyjn,2009-12-15T10:14:53,-20.046,133.599,5.1,,5.2,,,,,,,,,620521,1990-11-27T21:16:26,,0,5.2,mb,,,,2.84640141,0
earthquakes.fid--718ebb5a_177845ae793_5d19,276887,140.38,,2,,,,,FINL,2008-04-02T16:15:10,ga1990vkqzay,2009-12-15T10:14:53,-20.061,134.166,4.3,,4.5,,,,,,,,,620520,1990-10-31T06:00:10,,0,4.5,mb,,,,3.11696649,0
earthquakes.fid--718ebb5a_177845ae793_5d1a,266058,167.22,,10,,,,,FINL,2008-04-02T18:32:24,ga1990bkkmab,2009-12-15T10:14:57,-19.978,133.706,4.4,,,,,,,,,,,703515,1990-01-20T19:56:46,,0,4.4,mb,,,,2.01560814,0
earthquakes.fid--718ebb5a_177845ae793_5d1b,642887,0,,24.4,,South East of Cape York. Nearest station COEN.,,,FINL,2008-04-08T08:13:48,ga2007wupqit,2009-12-10T15:24:41,-12.336,143.735,4.8,,4.8,,,,,,,,,2145404,2007-11-19T20:01:01,,0,4.8,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5d1c,279108,225.31,,2,,Tennant Creek NT - aftershhock,,,FINL,2008-04-03T15:28:11,ga1991aetlve,2009-12-15T10:14:53,-19.906,133.831,4.7,,4.7,,,,,,,,,620606,1991-01-03T14:04:53,,0,4.7,mb,,,,3.69395164,0
earthquakes.fid--718ebb5a_177845ae793_5d1d,533596,0,,33,,Error ellipse is semi-major=51.8km semi-minor=19.9km azimuth=66.0.,,,FINL,2008-04-09T18:45:12,ga1999euuvha,2009-12-15T10:44:41,-10.8895,128.7734,5.6,,,,,,,,,,,1947553,1999-03-09T23:43:05,,0,5.6,mb,,,,,0
earthquakes.fid--718ebb5a_177845ae793_5d1e,363134,96.81,,5,,Tennant Creek NT,,,FINL,2008-04-23T19:45:14,ga1994rdvcvz,2009-12-15T10:18:50,-19.859,133.321,4.5,,4.5,,,,,,,,,909508,1994-08-31T20:48:30,,0,4.5,mb,,,,2.99322229,0
earthquakes.fid--718ebb5a_177845ae793_5d1f,663204,210.3516388,98.41979218,10,0,Offshore Carnarvon;WA,2019-02-01T16:28:19.788,manual,reviewed,2019-02-01T08:31:06.723,ga2019cfojhl,2019-02-03T22:01:33.393,-24.50074196,113.3016357,4.83721176,,4.40320787,,,,,,2.03751898,29.36599541,2.037518978,20190203220031.871996.64802,2019-02-01T08:28:19.788,0.62785536,32,4.40320787,ML,15.39166832,4.94379664,GA,1.00685405,31
earthquakes.fid--718ebb5a_177845ae793_5d20,661176,87.83227539,9.47093964,5.76605177,1.90256225,Lake Muir area;WA,2018-10-13T00:31:29.048,manual,reviewed,2018-10-12T16:31:43.636,ga2018ucpciy,2018-10-22T04:07:43.91,-34.39522552,116.7988281,5.04720756,,4.64511297,,,,,,0.006149,10.15951061,0.006148999,20181022040040.133503.92483,2018-10-12T16:31:29.048,0.29697131,18,4.64511297,ML,5.81417847,3.19792938,GA,0.44815084,12
earthquakes.fid--718ebb5a_177845ae793_5d21,662476,54.84062195,56.75679398,10,0,Offshore NW of Carnarvon; WA,2018-12-16T22:26:21.333,manual,reviewed,2018-12-16T14:29:26.273,ga2018yrtdrs,2018-12-17T02:09:41.752,-23.30430031,112.6228561,5.71168794,,6.17993852,,5.85092492,,5.73436308,5.60201564,1.62419546,60.22218323,1.624195457,20181217020019.559336.89653,2018-12-16T14:26:21.333,0.14099959,124,5.85092492,Mw,5.16851425,3.14675283,GA,1.2070284,124
earthquakes.fid--718ebb5a_177845ae793_5d22,664880,49.56759977,52.59433746,10,0,Southern Tanami; NT,2019-05-30T11:56:50.969,manual,reviewed,2019-05-30T02:29:46.459,ga2019knsbtf,2019-05-30T04:12:08.239,-21.28147316,131.8587646,5.63173827,,5.39990724,,4.86784404,,,,2.69967484,45.67377853,2.699674845,20190530040255.617425.76014,2019-05-30T02:26:50.969,0.16325816,41,5.39990724,ML,5.14932156,3.74165416,GA,1.01241757,41
earthquakes.fid--718ebb5a_177845ae793_5d23,666548,119.7817154,58.46303177,10,0,Offshore E of Mackay; QLD,2019-08-18T21:38:41.661,manual,reviewed,2019-08-18T11:42:24.958,ga2019qfglqd,2019-08-19T01:08:44.954,-20.95031929,151.8996429,4.72395036,,4.52018142,,,,,,2.70594716,20.31466484,2.705947161,20190819010324.101592.84166,2019-08-18T11:38:41.661,0.3084307,20,4.52018142,ML,7.45001316,5.14827204,GA,0.78688811,19
earthquakes.fid--718ebb5a_177845ae793_5d24,666491,34.99832153,164.8854218,10,0,Pilbara; WA,2019-08-13T03:11:47.373,manual,reviewed,2019-08-12T19:15:06.101,ga2019puvcuy,2019-08-13T22:33:23.652,-21.41424179,120.5794525,4.76116766,,4.61978938,,,,5.75303451,5.62647521,0.70115757,20.1711235,0.70115757,20190813223139.250986.72004,2019-08-12T19:11:47.373,0.16300633,43,4.61978938,ML,4.17162228,3.20286417,GA,1.32684773,41
earthquakes.fid--718ebb5a_177845ae793_5d25,666331,84.66697693,110.2360535,10,0,Offshore Broome; WA,2019-08-02T07:03:57.005,manual,reviewed,2019-08-01T23:07:03.865,ga2019paxvfc,2019-08-02T00:12:02.903,-18.28358841,120.2637711,5.36735619,,4.75469771,,,,,,2.90415168,23.53083992,1.899969697,20190802000744.03785.65802,2019-08-01T23:03:57.005,0.24439544,28,4.75469771,ML,6.89950562,4.01834154,GA,1.09125854,28
earthquakes.fid--718ebb5a_177845ae793_5d26,666308,29.7194767,40.39219666,10,0,Tennant Creek; NT,2019-08-01T10:52:15.845,manual,reviewed,2019-08-01T01:25:20.057,ga2019ozgrmh,2019-08-07T01:53:43.57,-19.81451225,133.7608032,5.19336681,,5.30940435,,4.98775771,,5.20390997,4.90712206,0.57625502,38.7885704,0.576255024,20190807015014.102698.69707,2019-08-01T01:22:15.845,0.13489463,62,4.98775771,Mw,4.46385574,3.22111535,GA,0.99675826,62
earthquakes.fid--718ebb5a_177845ae793_5d27,666187,84.77786255,119.2412338,10,0,Offshore Broome; WA,2019-07-26T03:06:13.545,manual,reviewed,2019-07-25T19:09:14.023,ga2019ontweu,2019-07-26T04:22:05.774,-18.26270294,120.2585831,4.99281615,,4.48567601,,,,,,1.90150273,23.54778862,1.901502728,20190726041832.480241.88318,2019-07-25T19:06:13.545,0.18893273,48,4.48567601,ML,4.75292444,3.36031771,GA,1.50541673,45
earthquakes.fid--718ebb5a_177845ae793_5d28,666116,182.9170628,132.3300476,19.90625381,11.85547068,Offshore Broome; WA,2019-07-14T13:59:17.928,manual,reviewed,2019-07-14T10:41:24.334,ga2019nsoujd,2019-07-22T18:27:18.616,-18.37194824,120.5550842,5.34828833,,4.57687547,,,,,,2.87910557,14.79823017,2.879105568,20190722182643.394373.92781,2019-07-14T05:59:17.928,1.16551108,18,4.57687547,ML,14.86399746,3.99271369,GA,0.97129241,14
earthquakes.fid--718ebb5a_177845ae793_5d29,666114,222.8910065,139.6651917,21.60560989,18.03302533,Offshore Broome; WA,2019-07-14T13:55:20.425,manual,reviewed,2019-07-14T10:27:21.931,ga2019nsonwi,2019-07-22T18:05:50.451,-18.62403297,120.6585007,5.74062406,,4.70210716,,,,,,2.66854739,11.60379219,2.668547392,20190722180206.840376.88639,2019-07-14T05:55:20.425,1.66317991,10,4.70210716,ML,22.88096809,5.18020105,GA,0.89610117,8
earthquakes.fid--718ebb5a_177845ae793_5d2a,666113,182.5740356,134.3842468,11.24637032,11.09485167,Offshore Broome; WA,2019-07-14T14:03:15.831,manual,reviewed,2019-07-14T10:51:50.891,ga2019nsoxln,2019-07-22T17:31:57.957,-18.74501228,120.637558,5.22707156,,4.50308774,,,,,,2.54836273,13.7405405,2.548362732,20190722173039.72164.78893,2019-07-14T06:03:15.831,1.32388941,12,4.50308774,ML,13.63677788,6.74393845,GA,0.53668815,9
earthquakes.fid--718ebb5a_177845ae793_5d2b,665782,46.39813232,67.86225891,10,0,Offshore Broome; WA,2019-07-15T07:01:36.282,manual,reviewed,2019-07-14T23:04:34.674,ga2019ntwrhw,2019-07-21T06:18:35.016,-18.28185654,120.2814636,5.50426372,,5.09287119,,4.72501892,,5.24188546,4.95686996,2.90877152,80.59016418,2.908771515,20190721061038.618926.85939,2019-07-14T23:01:36.282,0.09131781,144,4.72501892,Mw,3.29621887,2.35528302,GA,1.16928985,142
earthquakes.fid--718ebb5a_177845ae793_5d2c,665777,182.8164749,132.4406891,21.91589737,13.32658794,Offshore Broome; WA,2019-07-15T05:33:54.935,manual,reviewed,2019-07-14T21:36:55.102,ga2019ntttsx,2019-07-20T11:53:21.385,-18.36467743,120.5684814,5.01291009,,4.36465236,,,,,,2.8894918,18.08382416,2.889491796,20190720115043.189353.128049,2019-07-14T21:33:54.935,1.25314103,23,4.36465236,ML,12.17146492,4.31547403,GA,1.44374123,20
earthquakes.fid--718ebb5a_177845ae793_5d2d,665743,113.7893524,106.9970474,15.75727749,7.03012117,Offshore Broome; WA,2019-07-14T15:26:37.287,manual,reviewed,2019-07-14T07:30:04.135,ga2019nsrrqq,2019-07-20T06:31:30.617,-18.20709038,120.42556,5.20124566,,4.55249728,,,,,,3.008564,61.16588974,3.008563995,20190720062830.977711.82498,2019-07-14T07:26:37.287,0.88078128,51,4.55249728,ML,4.69792748,3.34165549,GA,1.55439328,47
earthquakes.fid--718ebb5a_177845ae793_5d2e,665724,26.38032532,60.32165146,20,0,Offshore Broome; WA,2019-07-14T13:39:24.991,manual,reviewed,2019-07-14T05:42:19.916,ga2019nsodfc,2019-07-22T02:56:48.81,-18.26223373,120.2946854,6.35791224,,6.40684231,,,6.55122597,6.25864187,6.28882085,2.93021393,80.60993958,2.930213928,20190722025623.364184.104290,2019-07-14T05:39:24.991,0.07073402,240,6.55122597,Mww,2.86141682,1.87207639,GA,1.08013375,236
earthquakes.fid--718ebb5a_177845ae793_5d2f,658595,180.3445587,6.49549198,10,0,SE of Norseman; WA,2018-06-20T10:54:32.154,manual,reviewed,2018-06-20T02:57:25.115,ga2018mahejo,2018-06-20T03:46:07.047,-32.66796494,122.4235687,5.07936935,,4.6594319,,,,,,1.37634718,13.64911938,1.376347184,20180620034000.396894.80355,2018-06-20T02:54:32.154,0.41515772,12,4.6594319,ML,9.80926609,6.15913296,GA,0.78055521,11
earthquakes.fid--718ebb5a_177845ae793_5d30,659838,39.13414001,65.0664978,1.72017396,1.92216663,Lake Muir; WA,2018-09-16T12:56:24.116,manual,reviewed,2018-09-16T04:58:13.331,ga2018sfzeme,2019-05-20T03:59:23.806,-34.40681076,116.9015503,5.2360801,,5.70634096,,5.25264889,,,,0.21156071,86.71031189,0.211560711,20180925072628.390521.84246,2018-09-16T04:56:24.116,0.23637152,96,5.25264889,Mw,4.54135609,3.33228684,GA,1.38536198,93
earthquakes.fid--718ebb5a_177845ae793_5d31,665913,196.9559975,136.6205902,21.46323967,11.53026943,Offshore Broome; WA,2019-07-17T18:20:12.812,manual,reviewed,2019-07-17T10:23:39.172,ga2019nykpwb,2019-07-21T11:51:17.173,-18.52585411,120.3633499,4.9802334,,4.42296652,,,,,,2.6862545,23.20799255,2.686254501,20190721114745.227607.96005,2019-07-17T10:20:12.812,1.06336071,29,4.42296652,ML,13.64335346,4.08964539,GA,1.2839764,24
earthquakes.fid--718ebb5a_177845ae793_5d32,659729,93.14437866,61.65956116,18.48936844,12.26097518,Offshore; NW of Australia,2018-09-11T05:55:20.741,manual,reviewed,2018-09-10T21:58:00.807,ga2018rwgpgw,2018-09-11T01:42:27.185,-12.83352947,122.615387,4.7884784,,3.95974927,,,,,,3.27719688,25.75426483,3.277196884,20180911014203.581443.101118,2018-09-10T21:55:20.741,1.41450569,32,4.7884784,mb,5.60019684,3.7391448,GA,0.93346331,31
